Año,Trimestre,Provincia,Total,Banda ancha fija (en miles)
2019,2,SANTA CRUZ,30550,30.22
2019,2,SANTA FE,743484,743.26
2019,2,SANTIAGO DEL ESTERO,126754,126.75
2019,2,TIERRA DEL FUEGO,47454,46.91
2019,2,TUCUMAN,166331,166.3
2019,1,BUENOS AIRES,3746667,3736.56
2019,1,CAPITAL FEDERAL,1399600,1396.16
2019,1,CATAMARCA,33622,33.61
2019,1,CHACO,103677,103.66
2019,1,CHUBUT,79778,78.26
2019,1,CORDOBA,744115,744.01
2019,1,CORRIENTES,102487,102.48
2019,1,ENTRE RIOS,232447,232.4
2019,1,FORMOSA,45211,45.21
2019,1,JUJUY,90147,90.15
2019,1,LA PAMPA,89160,88.89
2019,1,LA RIOJA,51656,51.64
2019,1,MENDOZA,206298,204.98
2019,1,MISIONES,122720,122.72
2019,1,NEUQUEN,114377,112.32
2019,1,RIO NEGRO,121088,120.17
2019,1,SALTA,136020,136.02
2019,1,SAN JUAN,62445,61.88
2019,1,SAN LUIS,96335,96.04
2019,1,SANTA CRUZ,24905,24.58
2019,1,SANTA FE,737078,736.85
2019,1,SANTIAGO DEL ESTERO,89853,89.85
2019,1,TIERRA DEL FUEGO,46447,45.9
2019,1,TUCUMAN,172002,171.97
2018,4,BUENOS AIRES,3636606,3626.5
2018,4,CAPITAL FEDERAL,1389020,1385.58
2018,4,CATAMARCA,33583,33.57
2018,4,CHACO,103270,103.26
2018,4,CHUBUT,78722,77.2
2018,4,CORDOBA,737339,737.23
2018,4,CORRIENTES,100601,100.59
2018,4,ENTRE RIOS,222047,222.0
2018,4,FORMOSA,45204,45.2
2018,4,JUJUY,90133,90.13
2018,4,LA PAMPA,85636,85.37
2018,4,LA RIOJA,51651,51.63
2018,4,MENDOZA,206304,204.98
2018,4,MISIONES,116273,116.27
2018,4,NEUQUEN,114365,112.31
2018,4,RIO NEGRO,116837,115.92
2018,4,SALTA,134578,134.58
2018,4,SAN JUAN,62398,61.83
2018,4,SAN LUIS,96331,96.04
2018,4,SANTA CRUZ,24768,24.44
2018,4,SANTA FE,720390,720.16
2018,4,SANTIAGO DEL ESTERO,89335,89.33
2018,4,TIERRA DEL FUEGO,46260,45.72
2018,4,TUCUMAN,172004,171.97
2018,3,BUENOS AIRES,3610277,3599.71
2018,3,CAPITAL FEDERAL,1392490,1385.8
2018,3,CATAMARCA,34226,34.22
2018,3,CHACO,102033,102.02
2018,3,CHUBUT,103736,101.31
2018,3,CORDOBA,725858,725.76
2018,3,CORRIENTES,99456,99.44
2018,3,ENTRE RIOS,204608,204.56
2018,3,FORMOSA,44865,44.86
2018,3,JUJUY,44935,44.93
2018,3,LA PAMPA,83424,83.18
2018,3,LA RIOJA,51872,51.86
2018,3,MENDOZA,207029,205.54
2018,3,MISIONES,108042,108.04
2018,3,NEUQUEN,116718,114.71
2018,3,RIO NEGRO,113492,112.43
2018,3,SALTA,132883,132.88
2018,3,SAN JUAN,64481,63.82
2018,3,SAN LUIS,74421,74.12
2018,3,SANTA CRUZ,33999,33.56
2018,3,SANTA FE,695100,694.88
2018,3,SANTIAGO DEL ESTERO,86360,86.36
2018,3,TIERRA DEL FUEGO,45564,45.06
2018,3,TUCUMAN,171166,171.14
2018,2,BUENOS AIRES,3500699,3490.13
2018,2,CAPITAL FEDERAL,1369186,1362.5
2018,2,CATAMARCA,34089,34.08
2018,2,CHACO,98521,98.51
2018,2,CHUBUT,100564,98.14
2018,2,CORDOBA,713073,712.98
2018,2,CORRIENTES,97957,97.95
2018,2,ENTRE RIOS,199985,199.94
2018,2,FORMOSA,44554,44.55
2018,2,JUJUY,45133,45.13
2018,2,LA PAMPA,82421,82.18
2018,2,LA RIOJA,51948,51.93
2018,2,MENDOZA,200952,199.47
2018,2,MISIONES,106147,106.15
2018,2,NEUQUEN,115848,113.84
2018,2,RIO NEGRO,112235,111.18
2018,2,SALTA,134167,134.17
2018,2,SAN JUAN,64101,63.44
2018,2,SAN LUIS,21468,21.17
2018,2,SANTA CRUZ,34405,33.97
2018,2,SANTA FE,684552,684.24
2018,2,SANTIAGO DEL ESTERO,83775,83.77
2018,2,TIERRA DEL FUEGO,44707,44.2
2018,2,TUCUMAN,169957,169.93
2018,1,BUENOS AIRES,3475446,3464.88
2018,1,CAPITAL FEDERAL,1366570,1359.88
2018,1,CATAMARCA,33945,33.93
2018,1,CHACO,96937,96.92
2018,1,CHUBUT,97959,95.53
2018,1,CORDOBA,713926,713.82
2018,1,CORRIENTES,94417,94.41
2018,1,ENTRE RIOS,197394,197.35
2018,1,FORMOSA,32328,32.33
2018,1,JUJUY,44406,44.4
2018,1,LA PAMPA,83064,82.67
2018,1,LA RIOJA,52245,52.23
2018,1,MENDOZA,200947,199.46
2018,1,MISIONES,103580,103.58
2018,1,NEUQUEN,117903,115.9
2018,1,RIO NEGRO,111119,110.06
2018,1,SALTA,133183,133.18
2018,1,SAN JUAN,63268,62.61
2018,1,SAN LUIS,21396,21.1
2018,1,SANTA CRUZ,34405,33.97
2018,1,SANTA FE,680026,679.72
2018,1,SANTIAGO DEL ESTERO,82918,82.92
2018,1,TIERRA DEL FUEGO,31614,31.11
2018,1,TUCUMAN,168057,168.03
2017,4,BUENOS AIRES,3181896,3171.21
2017,4,CAPITAL FEDERAL,1582324,1575.42
2017,4,CATAMARCA,29558,29.55
2017,4,CHACO,96615,96.6
2017,4,CHUBUT,93440,91.01
2017,4,CORDOBA,709979,709.87
2017,4,CORRIENTES,93771,93.76
2017,4,ENTRE RIOS,193703,193.65
2017,4,FORMOSA,32056,32.06
2017,4,JUJUY,43552,43.55
2017,4,LA PAMPA,82071,81.68
2017,4,LA RIOJA,52194,52.18
2017,4,MENDOZA,180151,178.66
2017,4,MISIONES,103895,103.9
2017,4,NEUQUEN,116971,114.96
2017,4,RIO NEGRO,109764,108.7
2017,4,SALTA,132812,132.81
2017,4,SAN JUAN,58624,57.96
2017,4,SAN LUIS,14904,14.6
2017,4,SANTA CRUZ,29452,29.02
2017,4,SANTA FE,672460,672.14
2017,4,SANTIAGO DEL ESTERO,68844,68.84
2017,4,TIERRA DEL FUEGO,28854,28.35
2017,4,TUCUMAN,162332,162.3
2017,3,BUENOS AIRES,3057960,3046.76
2017,3,CAPITAL FEDERAL,1570359,1563.29
2017,3,CATAMARCA,33478,33.47
2017,3,CHACO,93759,93.75
2017,3,CHUBUT,83544,81.07
2017,3,CORDOBA,696644,696.54
2017,3,CORRIENTES,92548,92.54
2017,3,ENTRE RIOS,185464,185.41
2017,3,FORMOSA,32105,32.1
2017,3,JUJUY,43242,43.24
2017,3,LA PAMPA,79690,79.28
2017,3,LA RIOJA,51913,51.9
2017,3,MENDOZA,192491,190.96
2017,3,MISIONES,100476,100.48
2017,3,NEUQUEN,115784,113.76
2017,3,RIO NEGRO,107496,106.39
2017,3,SALTA,132518,132.52
2017,3,SAN JUAN,62449,61.79
2017,3,SAN LUIS,21719,21.41
2017,3,SANTA CRUZ,33690,33.22
2017,3,SANTA FE,662342,662.09
2017,3,SANTIAGO DEL ESTERO,82794,82.79
2017,3,TIERRA DEL FUEGO,31466,30.88
2017,3,TUCUMAN,161012,160.98
2017,2,BUENOS AIRES,3078631,3067.43
