Año,Trimestre,Provincia,Mbps (Media de bajada)
2020,2,SALTA,22.56
2020,2,SAN JUAN,6.31
2020,2,SAN LUIS,21.02
2020,2,SANTA CRUZ,6.59
2020,2,SANTA FE,23.93
2020,2,SANTIAGO DEL ESTERO,10.41
2020,2,TIERRA DEL FUEGO,8.13
2020,2,TUCUMAN,32.7
2020,1,BUENOS AIRES,45.18
2020,1,CAPITAL FEDERAL,58.71
2020,1,CATAMARCA,29.13
2020,1,CHACO,25.94
2020,1,CHUBUT,7.12
2020,1,CORDOBA,29.39
2020,1,CORRIENTES,20.54
2020,1,ENTRE RIOS,19.03
2020,1,FORMOSA,15.7
2020,1,JUJUY,14.14
2020,1,LA PAMPA,7.29
2020,1,LA RIOJA,7.96
2020,1,MENDOZA,8.44
2020,1,MISIONES,22.15
2020,1,NEUQUEN,27.77
2020,1,RIO NEGRO,19.06
2020,1,SALTA,21.43
2020,1,SAN JUAN,6.04
2020,1,SAN LUIS,20.99
2020,1,SANTA CRUZ,6.42
2020,1,SANTA FE,22.42
2020,1,SANTIAGO DEL ESTERO,10.0
2020,1,TIERRA DEL FUEGO,7.41
2020,1,TUCUMAN,32.25
2019,4,BUENOS AIRES,30.77
2019,4,CAPITAL FEDERAL,44.2
2019,4,CATAMARCA,24.88
2019,4,CHACO,23.37
2019,4,CHUBUT,6.99
2019,4,CORDOBA,26.16
2019,4,CORRIENTES,19.26
2019,4,ENTRE RIOS,17.01
2019,4,FORMOSA,14.53
2019,4,JUJUY,12.96
2019,4,LA PAMPA,6.53
2019,4,LA RIOJA,8.0
2019,4,MENDOZA,7.79
2019,4,MISIONES,20.32
2019,4,NEUQUEN,26.02
2019,4,RIO NEGRO,17.18
2019,4,SALTA,19.08
2019,4,SAN JUAN,6.04
2019,4,SAN LUIS,20.69
2019,4,SANTA CRUZ,5.21
2019,4,SANTA FE,20.55
2019,4,SANTIAGO DEL ESTERO,9.79
2019,4,TIERRA DEL FUEGO,7.27
2019,4,TUCUMAN,29.87
