Año,Trimestre,Provincia,Accesos por cada 100 hogares
2021,4,SANTIAGO DEL ESTERO,47.0459491943867
2021,4,TIERRA DEL FUEGO,98.4006164486543
2021,4,TUCUMAN,55.9259910242439
2021,3,BUENOS AIRES,71.6821894010193
2021,3,CAPITAL FEDERAL,111.271055142509
2021,3,CATAMARCA,52.7097934860013
2021,3,CHACO,42.9624100796766
2021,3,CHUBUT,80.7097384765756
2021,3,CORDOBA,81.2845665540848
2021,3,CORRIENTES,44.9008831266441
2021,3,ENTRE RIOS,62.1794014538577
2021,3,FORMOSA,33.9620335406843
2021,3,JUJUY,55.6892647441935
2021,3,LA PAMPA,84.2799630965361
2021,3,LA RIOJA,77.2601606138685
2021,3,MENDOZA,45.548284680561
2021,3,MISIONES,45.5706536580879
2021,3,NEUQUEN,69.7065334450161
2021,3,RIO NEGRO,61.9672131147541
2021,3,SALTA,55.9642780595842
2021,3,SAN JUAN,39.4554480019856
2021,3,SAN LUIS,79.8704334921291
2021,3,SANTA CRUZ,43.7473202801201
2021,3,SANTA FE,75.0170476272823
2021,3,SANTIAGO DEL ESTERO,47.0
2021,3,TIERRA DEL FUEGO,94.9538682598503
2021,3,TUCUMAN,54.636044861008
2021,2,BUENOS AIRES,70.0033033602797
2021,2,CAPITAL FEDERAL,110.144402032121
2021,2,CATAMARCA,52.3403096626386
2021,2,CHACO,43.3276272929354
2021,2,CHUBUT,72.2941048193647
2021,2,CORDOBA,80.1151879593124
2021,2,CORRIENTES,43.5411637336848
2021,2,ENTRE RIOS,61.6602644647879
2021,2,FORMOSA,33.2254841932261
2021,2,JUJUY,56.1821570114677
2021,2,LA PAMPA,82.080006723254
2021,2,LA RIOJA,76.9786615851933
2021,2,MENDOZA,40.9732418261709
2021,2,MISIONES,45.0128113119994
2021,2,NEUQUEN,69.1402108463862
2021,2,RIO NEGRO,61.9420405741775
2021,2,SALTA,54.9300901747889
2021,2,SAN JUAN,39.2840257006206
2021,2,SAN LUIS,83.4781072006307
2021,2,SANTA CRUZ,44.0149166554342
2021,2,SANTA FE,75.0687862629301
2021,2,SANTIAGO DEL ESTERO,46.5572753649211
2021,2,TIERRA DEL FUEGO,67.8858077522918
2021,2,TUCUMAN,54.928196510348
2021,1,BUENOS AIRES,69.1052407618594
2021,1,CAPITAL FEDERAL,108.419939223293
2021,1,CATAMARCA,48.8990929278482
2021,1,CHACO,43.1364924170879
2021,1,CHUBUT,68.9942808881567
2021,1,CORDOBA,78.5902806238002
2021,1,CORRIENTES,42.6641284388214
2021,1,ENTRE RIOS,60.4394497283423
2021,1,FORMOSA,32.7329557563272
2021,1,JUJUY,55.6324478962054
2021,1,LA PAMPA,81.7767634575221
2021,1,LA RIOJA,49.8069351907935
2021,1,MENDOZA,39.1536615289964
2021,1,MISIONES,43.1724389059718
2021,1,NEUQUEN,66.8420894204527
2021,1,RIO NEGRO,60.8792403032577
2021,1,SALTA,53.9300192633909
2021,1,SAN JUAN,39.0551943353576
2021,1,SAN LUIS,81.2373017712751
2021,1,SANTA CRUZ,41.6478310399074
2021,1,SANTA FE,73.9165640702618
2021,1,SANTIAGO DEL ESTERO,45.6730828236546
2021,1,TIERRA DEL FUEGO,77.3493560917737
2021,1,TUCUMAN,54.8189225412539
2020,4,BUENOS AIRES,68.9770222017074
2020,4,CAPITAL FEDERAL,108.311074890435
2020,4,CATAMARCA,49.4068835454974
2020,4,CHACO,43.0307886497791
2020,4,CHUBUT,68.3518991582562
2020,4,CORDOBA,78.0796087633819
2020,4,CORRIENTES,42.428283946949
2020,4,ENTRE RIOS,59.4743067609738
2020,4,FORMOSA,32.4873819075967
2020,4,JUJUY,53.4565912339089
2020,4,LA PAMPA,81.7679324894515
2020,4,LA RIOJA,50.1106121170115
2020,4,MENDOZA,38.6295789622782
2020,4,MISIONES,42.6441141611923
2020,4,NEUQUEN,67.0023452204809
2020,4,RIO NEGRO,61.0886154804548
2020,4,SALTA,54.0427520014766
2020,4,SAN JUAN,36.3208821557581
2020,4,SAN LUIS,81.679478061057
2020,4,SANTA CRUZ,36.999572459088
2020,4,SANTA FE,73.5807380726778
2020,4,SANTIAGO DEL ESTERO,43.7492566206899
2020,4,TIERRA DEL FUEGO,76.265834969774
2020,4,TUCUMAN,54.7834044136996
2020,3,BUENOS AIRES,67.6561898309092
2020,3,CAPITAL FEDERAL,107.675901165732
2020,3,CATAMARCA,47.157098984172
2020,3,CHACO,41.5419205780652
2020,3,CHUBUT,68.3438981572004
2020,3,CORDOBA,75.2203572366921
2020,3,CORRIENTES,41.7507494704644
2020,3,ENTRE RIOS,58.1901640924315
2020,3,FORMOSA,31.9056233101865
2020,3,JUJUY,54.0444192382091
2020,3,LA PAMPA,79.2644770667028
2020,3,LA RIOJA,50.1181132363027
2020,3,MENDOZA,37.3486331372327
2020,3,MISIONES,41.6044862854486
2020,3,NEUQUEN,65.2441702553022
2020,3,RIO NEGRO,57.052405915845
2020,3,SALTA,52.315712128488
2020,3,SAN JUAN,38.7899552541285
2020,3,SAN LUIS,79.9617220941719
2020,3,SANTA CRUZ,35.9515289078445
2020,3,SANTA FE,72.1206024734824
2020,3,SANTIAGO DEL ESTERO,43.3759313169191
2020,3,TIERRA DEL FUEGO,76.809095839467
2020,3,TUCUMAN,53.2281495112899
2020,2,BUENOS AIRES,65.2205801358229
2020,2,CAPITAL FEDERAL,106.414805990736
2020,2,CATAMARCA,45.4318181818182
2020,2,CHACO,39.8325027900658
2020,2,CHUBUT,57.3446133872355
2020,2,CORDOBA,72.7135853124239
2020,2,CORRIENTES,40.3047626797957
2020,2,ENTRE RIOS,56.5386547397096
2020,2,FORMOSA,31.1394362262631
2020,2,JUJUY,47.8878102278728
2020,2,LA PAMPA,76.1015828898756
2020,2,LA RIOJA,49.8399350183955
2020,2,MENDOZA,36.2522434211
2020,2,MISIONES,40.8877960096961
2020,2,NEUQUEN,63.8984690337643
2020,2,RIO NEGRO,56.369335248792
2020,2,SALTA,51.5815833534036
2020,2,SAN JUAN,35.0948577636503
2020,2,SAN LUIS,78.4096773527651
2020,2,SANTA CRUZ,35.792623969796
2020,2,SANTA FE,70.002168637187
2020,2,SANTIAGO DEL ESTERO,43.4671668246836
2020,2,TIERRA DEL FUEGO,76.3694826074247
2020,2,TUCUMAN,51.7807409103048
2020,1,BUENOS AIRES,64.3256310174343
2020,1,CAPITAL FEDERAL,105.980174141819
2020,1,CATAMARCA,37.6154276874603
2020,1,CHACO,37.4838333691726
2020,1,CHUBUT,51.268489419097
2020,1,CORDOBA,70.6880744339108
2020,1,CORRIENTES,38.7290799422309
2020,1,ENTRE RIOS,56.1200605143722
2020,1,FORMOSA,30.2283039626068
2020,1,JUJUY,46.6702306399878
2020,1,LA PAMPA,75.766787812914
2020,1,LA RIOJA,46.346631384167
2020,1,MENDOZA,33.1420767001727
2020,1,MISIONES,39.018347551712
2020,1,NEUQUEN,61.8474936235507
2020,1,RIO NEGRO,55.1156686596236
2020,1,SALTA,49.5956802701287
2020,1,SAN JUAN,32.3922921363047
2020,1,SAN LUIS,76.3085418464193
2020,1,SANTA CRUZ,35.9742762889655
2020,1,SANTA FE,69.5235794025313
2020,1,SANTIAGO DEL ESTERO,42.4663591879918
2020,1,TIERRA DEL FUEGO,76.0696497901879
2020,1,TUCUMAN,47.8479232585003
2019,4,BUENOS AIRES,64.2520528824542
2019,4,CAPITAL FEDERAL,106.245467510411
2019,4,CATAMARCA,36.4384291271555
2019,4,CHACO,36.8354786303424
2019,4,CHUBUT,51.1450178551471
2019,4,CORDOBA,70.4829556624422
2019,4,CORRIENTES,38.7674409892621
2019,4,ENTRE RIOS,57.9922169170451
2019,4,FORMOSA,30.471313480544
2019,4,JUJUY,45.3775463317507
2019,4,LA PAMPA,76.9241896917042
2019,4,LA RIOJA,47.1358901105243
2019,4,MENDOZA,33.6490307202718
2019,4,MISIONES,39.7892368404862
2019,4,NEUQUEN,59.3559009282245
2019,4,RIO NEGRO,55.7050096828749
2019,4,SALTA,50.3546389223882
2019,4,SAN JUAN,32.8549757281553
2019,4,SAN LUIS,74.9200260348146
2019,4,SANTA CRUZ,36.7113630853583
2019,4,SANTA FE,69.4823572559686
2019,4,SANTIAGO DEL ESTERO,42.9207738235818
2019,4,TIERRA DEL FUEGO,79.6953613637709
2019,4,TUCUMAN,47.6490201252129
2019,3,BUENOS AIRES,69.3563010607913
2019,3,CAPITAL FEDERAL,112.645387803721
2019,3,CATAMARCA,30.8836145267372
2019,3,CHACO,35.8460309754608
2019,3,CHUBUT,47.5662416229331
2019,3,CORDOBA,68.5923490106902
2019,3,CORRIENTES,38.4853511358672
2019,3,ENTRE RIOS,57.9000994579662
2019,3,FORMOSA,30.1124329977775
2019,3,JUJUY,44.3224868429136
2019,3,LA PAMPA,77.4526942329175
2019,3,LA RIOJA,47.9429051217464
2019,3,MENDOZA,40.7371425873534
2019,3,MISIONES,39.3329298674438
2019,3,NEUQUEN,64.1388726949158
2019,3,RIO NEGRO,63.4247008870096
2019,3,SALTA,44.4761779222872
2019,3,SAN JUAN,37.0623130355423
2019,3,SAN LUIS,85.2260887684934
2019,3,SANTA CRUZ,35.6281609788596
2019,3,SANTA FE,68.8717805759303
2019,3,SANTIAGO DEL ESTERO,55.3039114685454
2019,3,TIERRA DEL FUEGO,96.4621096309238
2019,3,TUCUMAN,39.4876002040168
2019,2,BUENOS AIRES,67.847139823742
2019,2,CAPITAL FEDERAL,110.545566994852
2019,2,CATAMARCA,32.1309502201928
2019,2,CHACO,34.1402609798676
2019,2,CHUBUT,46.9879841362692
2019,2,CORDOBA,68.0713093878985
2019,2,CORRIENTES,38.155585884188
2019,2,ENTRE RIOS,57.4782345887239
2019,2,FORMOSA,30.4182360069433
2019,2,JUJUY,44.511922790626
2019,2,LA PAMPA,77.083137502884
2019,2,LA RIOJA,48.7049391442432
2019,2,MENDOZA,40.7546242353627
2019,2,MISIONES,39.1461255416994
2019,2,NEUQUEN,63.0809643276744
2019,2,RIO NEGRO,61.0942074999118
2019,2,SALTA,41.8931983203698
2019,2,SAN JUAN,35.5997173374818
2019,2,SAN LUIS,81.789994425864
2019,2,SANTA CRUZ,28.8460630553221
2019,2,SANTA FE,67.4229199332195
2019,2,SANTIAGO DEL ESTERO,52.789971263171
2019,2,TIERRA DEL FUEGO,94.7980342802349
2019,2,TUCUMAN,40.1360462142088
2019,1,BUENOS AIRES,66.2425552273681
2019,1,CAPITAL FEDERAL,109.196164558838
2019,1,CATAMARCA,32.1904889561213
2019,1,CHACO,32.6358765794295
2019,1,CHUBUT,42.997736337178
2019,1,CORDOBA,65.5173840768055
2019,1,CORRIENTES,35.1349868869881
2019,1,ENTRE RIOS,56.7881599616928
2019,1,FORMOSA,29.6776946304319
2019,1,JUJUY,46.4084387403666
2019,1,LA PAMPA,76.3545743378065
2019,1,LA RIOJA,50.1845878832627
2019,1,MENDOZA,37.6571649702829
2019,1,MISIONES,36.2571682655235
2019,1,NEUQUEN,58.8780043343749
2019,1,RIO NEGRO,53.5716497810025
2019,1,SALTA,40.0983444177161
2019,1,SAN JUAN,31.8330580534655
2019,1,SAN LUIS,67.3379373977716
2019,1,SANTA CRUZ,23.6676549967689
2019,1,SANTA FE,66.9740909479148
2019,1,SANTIAGO DEL ESTERO,37.5194167460039
2019,1,TIERRA DEL FUEGO,93.3758192272124
2019,1,TUCUMAN,41.6307444313476
2018,4,BUENOS AIRES,64.6028466348432
2018,4,CAPITAL FEDERAL,108.273149970574
2018,4,CATAMARCA,32.2253461660253
2018,4,CHACO,32.5909608763298
2018,4,CHUBUT,42.6109360960454
2018,4,CORDOBA,65.0892645911237
2018,4,CORRIENTES,34.5662765686955
2018,4,ENTRE RIOS,54.3747734863994
2018,4,FORMOSA,29.73653915732
2018,4,JUJUY,46.5322663913268
2018,4,LA PAMPA,73.4940482831421
2018,4,LA RIOJA,50.3479939174172
2018,4,MENDOZA,37.7577838459117
2018,4,MISIONES,34.4507488777944
2018,4,NEUQUEN,59.0691692663678
2018,4,RIO NEGRO,51.8614034542606
2018,4,SALTA,39.8016100697381
