Año,Trimestre,Provincia,Accesos TV por suscripción (en miles)
2020,2,SALTA,202.61
2020,2,SAN JUAN,33.13
2020,2,SAN LUIS,45.9
2020,2,SANTA CRUZ,43.72
2020,2,SANTA FE,672.66
2020,2,SANTIAGO DEL ESTERO,90.1
2020,2,TIERRA DEL FUEGO,41.92
2020,2,TUCUMAN,97.16
2020,1,BUENOS AIRES,2955.17
2020,1,CAPITAL FEDERAL,741.54
2020,1,CATAMARCA,39.34
2020,1,CHACO,114.56
2020,1,CHUBUT,67.42
2020,1,CORDOBA,1062.83
2020,1,CORRIENTES,110.1
2020,1,ENTRE RIOS,220.53
2020,1,FORMOSA,59.24
2020,1,JUJUY,97.65
2020,1,LA PAMPA,79.9
2020,1,LA RIOJA,18.85
2020,1,MENDOZA,103.13
2020,1,MISIONES,143.35
2020,1,NEUQUEN,78.34
2020,1,RIO NEGRO,109.83
2020,1,SALTA,187.05
2020,1,SAN JUAN,30.3
2020,1,SAN LUIS,47.66
2020,1,SANTA CRUZ,43.32
2020,1,SANTA FE,670.94
2020,1,SANTIAGO DEL ESTERO,88.95
2020,1,TIERRA DEL FUEGO,41.49
2020,1,TUCUMAN,110.41
2019,4,BUENOS AIRES,2824.2
2019,4,CAPITAL FEDERAL,896.44
2019,4,CATAMARCA,41.03
2019,4,CHACO,114.31
2019,4,CHUBUT,69.89
2019,4,CORDOBA,1113.58
2019,4,CORRIENTES,109.76
2019,4,ENTRE RIOS,220.42
2019,4,FORMOSA,59.15
2019,4,JUJUY,95.1
2019,4,LA PAMPA,81.05
2019,4,LA RIOJA,18.98
2019,4,MENDOZA,102.38
2019,4,MISIONES,144.44
2019,4,NEUQUEN,76.8
2019,4,RIO NEGRO,110.59
2019,4,SALTA,189.13
2019,4,SAN JUAN,29.52
2019,4,SAN LUIS,48.42
2019,4,SANTA CRUZ,47.95
2019,4,SANTA FE,658.15
2019,4,SANTIAGO DEL ESTERO,89.88
2019,4,TIERRA DEL FUEGO,41.58
2019,4,TUCUMAN,113.42
2019,3,BUENOS AIRES,2737.69
2019,3,CAPITAL FEDERAL,862.49
2019,3,CATAMARCA,40.83
2019,3,CHACO,111.54
2019,3,CHUBUT,70.31
2019,3,CORDOBA,1104.13
2019,3,CORRIENTES,109.04
2019,3,ENTRE RIOS,216.33
2019,3,FORMOSA,59.07
2019,3,JUJUY,91.43
2019,3,LA PAMPA,82.6
2019,3,LA RIOJA,20.09
2019,3,MENDOZA,103.9
2019,3,MISIONES,143.51
2019,3,NEUQUEN,77.4
2019,3,RIO NEGRO,111.47
2019,3,SALTA,188.44
2019,3,SAN JUAN,30.78
2019,3,SAN LUIS,49.56
2019,3,SANTA CRUZ,48.08
2019,3,SANTA FE,655.58
2019,3,SANTIAGO DEL ESTERO,89.67
2019,3,TIERRA DEL FUEGO,42.87
2019,3,TUCUMAN,109.91
2019,2,BUENOS AIRES,2687.15
2019,2,CAPITAL FEDERAL,810.52
2019,2,CATAMARCA,33.08
2019,2,CHACO,108.53
2019,2,CHUBUT,87.68
2019,2,CORDOBA,1063.75
2019,2,CORRIENTES,108.39
2019,2,ENTRE RIOS,211.62
2019,2,FORMOSA,61.11
2019,2,JUJUY,88.55
2019,2,LA PAMPA,83.12
2019,2,LA RIOJA,25.89
2019,2,MENDOZA,139.69
2019,2,MISIONES,141.49
2019,2,NEUQUEN,79.18
2019,2,RIO NEGRO,108.72
2019,2,SALTA,185.49
2019,2,SAN JUAN,43.36
2019,2,SAN LUIS,53.56
2019,2,SANTA CRUZ,52.54
