Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2021,2,FORMOSA,36411,33104,2572,164,571
2021,2,JUJUY,44258,40239,3126,199,694
2021,2,LA PAMPA,71751,65235,5068,322,1126
2021,2,LA RIOJA,26765,24334,1891,120,420
2021,2,MENDOZA,204522,185947,14447,919,3209
2021,2,MISIONES,98622,89666,6966,443,1547
2021,2,NEUQUEN,72616,66022,5129,326,1139
2021,2,RIO NEGRO,86287,78450,6095,388,1354
2021,2,SALTA,120291,109367,8497,540,1887
2021,2,SAN JUAN,66631,60580,4707,299,1045
2021,2,SAN LUIS,33020,30022,2332,148,518
2021,2,SANTA CRUZ,27740,25220,1960,125,435
2021,2,SANTA FE,655796,596238,46324,2946,10288
2021,2,SANTIAGO DEL ESTERO,66649,60596,4708,299,1046
2021,2,TIERRA DEL FUEGO,18937,17217,1338,85,297
2021,2,TUCUMAN,165702,150653,11705,744,2600
2021,1,BUENOS AIRES,3203761,2874157,247958,15146,66500
2021,1,CAPITAL FEDERAL,1395627,1252044,108016,6598,28969
2021,1,CATAMARCA,26597,23860,2059,126,552
2021,1,CHACO,75834,68032,5869,359,1574
2021,1,CHUBUT,73068,65551,5655,345,1517
2021,1,CORDOBA,523748,469865,40536,2476,10871
2021,1,CORRIENTES,78850,70737,6103,373,1637
2021,1,ENTRE RIOS,168446,151117,13037,796,3496
2021,1,FORMOSA,31265,28048,2420,148,649
2021,1,JUJUY,42953,38534,3324,203,892
2021,1,LA PAMPA,71152,63832,5507,336,1477
2021,1,LA RIOJA,24254,21759,1877,115,503
2021,1,MENDOZA,196315,176118,15194,928,4075
2021,1,MISIONES,82076,73632,6352,388,1704
2021,1,NEUQUEN,74404,66749,5759,352,1544
2021,1,RIO NEGRO,82669,74164,6398,391,1716
2021,1,SALTA,96214,86315,7447,455,1997
2021,1,SAN JUAN,74837,67138,5792,354,1553
2021,1,SAN LUIS,34431,30888,2665,163,715
2021,1,SANTA CRUZ,26930,24160,2084,127,559
2021,1,SANTA FE,570118,511464,44125,2695,11834
2021,1,SANTIAGO DEL ESTERO,62157,55762,4811,294,1290
2021,1,TIERRA DEL FUEGO,21573,19353,1670,102,448
2021,1,TUCUMAN,163185,146397,12630,771,3387
